Highest Score,Standard Deviation,Mean
261,42.267491247133776,178.7
265,39.59509864534617,188.94
253,31.895722955549115,172.64
246,33.85332106217609,173.44
317,40.97766439893612,179.88
279,39.56446560710141,178.2
249,34.69282111236695,181.4
263,40.58217161588601,169.84
301,43.79138392563598,200.22
357,54.03523038212181,215.7
397,54.79749733597068,213.36
342,50.17044011392056,202.78
280,42.050411922561985,193.26
377,58.66786486098619,210.6
291,41.357752277769976,201.16
487,61.45944738987968,191.96
339,52.11142301034645,211.46
385,69.38836284247657,225.9
526,103.9992621637877,285.48
723,113.88730735033735,282.26
561,95.81469360282942,293.44
663,123.9036887329536,311.72
949,150.22191068209588,336.3
840,148.4733041351755,311.62
714,125.05888245795519,319.48
701,120.5957592241831,305.64
1156,208.23935992124103,402.04
1813,313.354037237533,464.68
2356,478.9938587651139,632.16
2488,476.7973552350974,678.42
2731,689.6395461931322,1114.52
2811,650.5048177832226,840.82
3089,637.7212288408515,890.04
5528,1073.9157752100014,1467.36
7302,1480.6276821203987,1828.44
13719,2697.8291439978334,2874.54
92905,15941.574837268898,10374.44
385221,55448.05493588626,14485.52
312652,47883.20425974018,14780.06
323039,57196.3421600382,17748.96
